title,description
Share market update: Media shares down; Zee Media falls 9%,The Nifty Media index was trading 0.12 per cent up at 1731.65 around 11:58 am.
Stock market update: Cement stocks slump; Barak Valley Cements dips 5%,"Barak Valley Cements, Andhra Cements and Burnpur Cement were the top gainers."
Stock market update: Sugar stocks decline; Piccadily Agro slides over 6%,"Piccadily Agro Industries, Dhampur Sugar Mills and Ugar Sugar Works  were the top losers."
Stock market update: Cement shares advance; UltraTech Cement rises over 2%,"UltraTech Cement, Century Textiles & Industries and Mangalam Cement were the top gainers."
Share market update: NBFC stocks mixed; Indiabulls Ventures surges 10%,"The NSE Nifty50 index was trading 117.25 points up at 11,243.65."
Rate cut not deep enough to scare bears off Dalal Street,The market had expected the central bank to cut interest rates by at least 35 basis points.
"We All Know WWE Is Scripted, But Wrestlers Do Put Themselves At Risk In The Ring And Here's Why",We grew up watching World Wrestling Entertainment (WWE) and it’s one of the childhood memories we saviour. The popularity of WWE has only soared over the years as people continue to love the entertainment provided by the wrestlers in the ring. WWE has become …
Rise Of E-Sports: How Gaming Is Evolving Into A Mainstream Entertainment Medium Like No Other,It is no surprise that video gaming and especially mobile gaming is a wildly popular social activity today. What many of more traditional entertainment providers were surprised by was how quickly gaming also became a spectator sport.  Back in 2014 people were…
Beast Brock Lesnar Recalls How Big Show Once Exploded 'With Diarrhoea All Over Him' In A WWE Match,"There have been many astonishing moments in World Wrestling Entertainment (WWE) and quite a few bemusing stories, like this one - Big Show going all diarrhea over Brock Lesnar. Yes, you read that right, it actually happened. The beast that Brock Lesnar is, he…"
"Adil Hussain Joins Star Trek: Discovery Season 3, Man Kicked Out Of Joker Screening & More From Ent","From Adil Hussain joining the cast of Star Trek: Discovery Season 3, whose trailer was released at the New York Comic-con to a man being kicked out of the screening of Joker for spitting at people and cheering and applauding on the scenes when somebody died i…"
Dwayne 'The Rock' Johnson Returns To WWE & We Could Smell What Was Cooking,"Can you still smell it? The People's Champion has returned! WWE Smackdown opened to electrifying atmosphere as Dwayne The Rock Johnson. Becky Lynch rocketed across the ring with her signature leg drop, but the crowd went absolutely berserk when The Rock bounc…"
Once Great Manchester United Are Just Two Points Above Relegation In The Premier League,"After the famous night in Paris when Ole Gunnar Solskjær masterminded Manchester United's 3-3 aggregate win on away goals, the Norwegian was give the permanent manager's job by the record 20 time English champions. He has changed the mood at Old Trafford afte…"
"After Martin Scorsese Says Marvel Films Aren’t Cinema, James Gunn Is 'Saddened' By His Judging","Clearly, Martin Scorsese is not a fan of Marvel movies. The iconic Oscar-winning filmmaker, who has directed movies including Taxi Driver, Goodfellas and The Departed among others, is receiving all the praises for his upcoming movie The Irishman as well. Howe…"
Team 'didn't want' new ball to go soft on Day 5: Pujara,Cheteshwar Pujara said that Indian team timed their second innings declaration in such a manner that they didn't have to start with a soft semi new-ball on the fifth day of their first Test. India batted 67 overs in their second innings to declare at 323 for …
"Instagram, Twitter are turning into new hiring destinations for Indian companies","Over 70% of global Instagram are less than 35 years of age, and recruiters are keen to target this audience."
Rajnath prods French defence cos to 'make in India',"Defence minister Rajnath Singh on Wednesday asked French armament companies to establish production bases in India for weapon systems that can also be exported to other countries. French arms companies, on their part, urged India to provide a more attractive …"
No more tense meets with taxman,India Business News: NEW DELHI: The government on Monday launched the national e-assessment which is expected to usher in faceless assessment of tax cases and shut out int.
BJP’s Parag Shah Maharashtra's richest contestant,"Parag Shah who is a sitting corporator from Ghatkopar has declared assets of over Rs 500 crore, which is more than that of Mangal Prabhat Lodha, BJP’s Mumbai unit chief, who is contesting from Malabar Hill and declared assets of Rs 441 crore. SP candidate Abu…"
Blog: Why industrialists should not own banks,"When private sector banks were allowed to open in the 1990s, some economists thought big industrialists were the obvious candidates. But businesses are potential borrowers, and so should not control lending institutions: that creates an..."
faceless e-assessment scheme launched,"Dubbed as a major initiative in the direction of taxation reform, the Income-Tax Department on Monday launched a faceless e-assessment scheme to eliminate interface between an assessing officer and a taxpayer. To begin with, 58,322 income tax cases have been …"
Aarey protest pics: Activists detained,"Cutting of trees in Aarey Colony in Mumbai has sparked protests, which led to blocking of roads and detaining of several activists. Reportedly, 29 activists have been arrested. Indian police detained protesters demanding that the Mumbai Metro Rail Corp Ltd (M…"
"Google, FB may face tax in line with India biz","Google, Facebook, Netflix etc. have a huge consumer base in several countries but no physical presence which is why Organisation for Economic Co-operation and Development has proposed a new global tax mechanism system for multinationals under which ‘some’ pro…"
Demand for smaller satellites sends Indian startups into orbit,"Companies News: A growing requirement for smaller and relatively low-cost satellites has brought a host of startups into action in a frontier that, so far, has been t."
Builders cautious on RERA,"Welcoming Real Estate Regulatory Authority, builders say it should not end up as a stick to beat them with"
"Under Modi, India is ‘red carpet society’: Sitharaman","‘There is more transparency in economic system after demonetisation, GST’"
"Adarsh Group case: ED attaches Rs.1,489-crore assets","The ED probe is based on an FIR registered last year by the Special Operation Group, Rajasthan Police"
Help at hand for chilli growers in Andhra Pradesh,ITC teams up with govt. to form agri extension platform
Anti-corruption forum to take out rally today,"Karnataka Brashtachara Virodhipade (KBV) will, in association with different labour unions, pro-farmer organisations and local organisations, take a protest rally here on Thursday.KBV State president"
Bus-stand demolition comes to a halt,Municipal officials intervene in dispute between contractor and headload workers over wages
RERA Act applicable to plots sold under industrial project: tribunal,"Property consultants, legal experts welcome the ruling"
"PM, President extend Durga Puja greetings, tweet in Bengali","Ashok Gehlot said, ""#Navratri gives the message of respecting women in society"""
"KSEB project seeks to add 1,000 MWp to grid by 2022",Initiative under Soura project of Urja Kerala Mission
How will purchases from Russia affect India-U.S. ties?,Will a new American law and sanctions come in the way of the S-400 Triumf missile purchase?
Regional disputes should be resolved peacefully through dialogues and consultations: Chinese envoy Sun Weidong,"Over the past year, the two sides have actively implemented the important consensus between the two leaders, upgraded and improved the quality of China-India relations, says Chinese Ambassador to India Sun Weidong"
"India, China relations are of global significance: Chinese envoy Sun Weidong","Over the past year, the two sides have actively implemented the important consensus between the two leaders, upgraded and improved the quality of China-India relations, says Chinese Ambassador to India Sun Weidong"
"Imran Khan arrives in China, to meet Xi Jinping","Mr. Khan was received by Chinese Minister for Culture Luo Shugang, Ambassador of China to Pakistan Yao Jing and the Pakistan officials, Pakistan’s state-run APP news agency reported."
Samsung heir in India to discuss mobile business: Sources,Industry sources speculated that Lee could hold a meeting with Reliance Industries Chairman Mukesh Ambani during his the visit.
Vijay Shekhar Sharma on business and what it takes to win India,Vijay Shekhar Sharma on business and what it takes to win IndiaA whole generation of internet entrepreneurs have small-town roots and hunger to build something successful.
Tech Mahindra and Cisco launch 5G-enabled solution to build ‘factories of the future’,"Built in collaboration with American technology firm Cisco, this will be an end-to-end business and technology solution to enable manufacturers to achieve industry 4.0 goals."
Sundeep Sikka: Nippon India MF will continue to grow 15-18%,Synergy between group asset managers of the Nippon India Mutual Fund would bear fruit
"Sebi norms to hurt traditional brokers: Nithin Kamath, Zerodha",New age modern brokerages like Zerodha have not been doing margin funding as much.
Assam CM directs for new set of building bye-laws within October 31,The Chief Minister issued the directions in a meeting held on GST at his conference room.
Shopping offline to get as cheap as online,"Shopping offline to get as cheap as onlineBrands like OnePlus, Xiaomi and Kodak and apparel retailers plan offers to beat the slump."
Biggest lesson from PMC's brazen crookery,Biggest lesson from PMC's brazen crookeryThis bank violated all norms to channel no less than 70% of its entire loans to just one client.
"This LOC too is causing anguish, of a different kind","India Inc says LOCs heightens the climate of distrust in an economic environment, investigative agencies say those accused need to be prevented from fleeing."
RIL likely to show a decent recovery in Q2: Centrum,"Gasoline and LPG doing well in pockets. Broadly speaking, downstream prospects are better."
"RBI rejects Indiabulls, Lakshmi Vilas merger","RBI rejects Indiabulls, Lakshmi Vilas mergerRBI had last month initiated Prompt Corrective Action (PCA) against LVB due to high level of bad loans."
Pepsico India wins US award for saving more than 17 billion litres of water,PepsiCo India has been named the global ACE winner in sustainable operations in the multinational enterprise category for its sustainable farming initiative in India
Nirmala Sitharaman to inaugurate national tax e-assessment centre on Monday,"""The new initiative shall impart greater efficiency, transparency and accountability in the assessment process.There would be no physical interface between the tax payers and the tax officers,"" it said."
Don't terrorise us on tax: Rafale engine maker,Don't terrorise us on tax: Rafale engine makerFrench multinational Safran is the manufacturer of the M88 state of the art engines fitted in the Rafale jets acquired by India.
Gold falls as dollar firms ahead of trade talks,"US gold futures dropped 0.6 per cent to $1,495.20."
Facebook to pay $40mn for inflating data on video ads,"Advertisers sued the social networking platform for overstating video-viewing metrics over an 18-month period from 2015-16, which led the advertisers paying extra for video ads based on the inflated data."
Finance Ministry to kick-start budgetary exercise from October 14,It will be the second Budget of both the Modi 2.0 government and Finance Minister Nirmala Sitharaman.
J Kumar rallies 20% as Sebi clears firm from charges,Sebi had earlier said it doubts the authenticity of the documents submitted by J Kumar.
Results to show Zee beating market on all metrics: Punit Goenka,Short-sellers are driving the market.  Nobody is valuing the intrinsic value of the asset.
Why young professionals are moving back home,Why young professionals are moving back homeMore professionals are giving up promising careers in big cities to start up in their tier-2 hometowns.
Mohan Bhagwat’s speech vindicates RCEP stand: RSS affiliates,"Sangh affiliates like Swadeshi Jagran Manch fear that countries like China, Australia and New Zealand will ruin businesses and create unemployment."
SBI-SG arm to offer custodian services,The company has begun to hold overseas roadshows wooing global investors to local markets.
ED attaches properties worth Rs 1489 crore in Adarsh Credit Cooperative Society case,"The ED attached the immovable and movable properties situated in Rajasthan, Haryana, New Delhi, Gujarat, Maharashtra and Uttar Pradesh, under the PMLA."
No more tense meets with taxman,No more tense meets with taxmanFM Sitharaman had announced launching of the scheme in 2019 that would provide e-assessment of income-tax in electronic mode with no human interface.
Airtel raises $750 million via perpetual bonds,"The proceeds shall be used for deleveraging through refinancing, investments in subsidiaries and general corporate purpose."
Index funds invest trillions but rarely challenge management,The study looked at the 300 worst performers who held proxy votes in 2018.
Want to see ‘Assembled in India’ on an iPhone: Ravi Shankar Prasad,He also spoke about the upcoming data privacy law and the government’s determination to ensure traceability of messages on social media platforms.
"From phones to TVs, the Chinese show goes on","Banking on their brand recall, firms like Xiaomi, OnePlus and Motorola-Lenovo are now betting big on higher-margin smart TVs."
Transition in Cong goes beyond ‘old vs young’,"Transition in Cong goes beyond ‘old vs young’Rahul Gandhi appointees who have quit, including Ashok Tanwar, Sanjay Nirupam and Milind Deora, Navjot Sidhu, Aditi Singh, Pradyot Debbarman, were promoted out of turn."
Unplanned growth behind flooding woes: Javadekar,"Unplanned growth behind flooding woes: JavadekarAccording to official data, nearly 1,900 people lost their lives and another 46 were reported missing this monsoon season in rains and floods that affected more than 25 lakh people in 22 states."
Motown braces for its headiest decade yet,Motown braces for its headiest decade yetCars may soon be no longer just about driving. They may turn into a buzzing marketplace.
Sandip Sabharwal’s top 3 picks for next three years,Some financials are in a virtuous cycle and some Like YES Bank are in a vicious cycle.
Global brands that backed down under China's wrath,"From airlines to luxury brands, numerous companies have had to apologise or face boycotts for offending China's views on semi-autonomous Hong Kong and self-ruled Taiwan."
Fed's Powell says US expansion is 'sustainable',"At a separate event, Chicago Fed President Charles Evans said he is open to another rate cut."
Does this festive season herald fireworks or damp squibs? A view,"Does this festive season herald fireworks or damp squibs? A view The Reserve Bank of India has cut its key interest rate five times since February to a nine-year low, and vowed it will continue to do so until the flat-lining economy begins to resuscitate."
"As Oyo booms, some Indian hotels cry foul and check out","As Oyo booms, some Indian hotels cry foul and check outAs Oyo pushes toward profitability, Indian hotel operators are complaining about being blindsided by fee hikes."
"Companies strategise to avail MAT credit, benefit from lower corporate tax",Some of the largest cos that have thousands of crores lying on their balance sheets in the form of unused MAT credit are looking to go for setting up new companies.
Don't send savings offshore; buy quality stocks: Nilesh Shah,"Retain savings in India, don’t buy gold bars, rather put it into building roads."
Prabhakaran on why Infosys earnings may be better than TCS,"The call has been to reduce positions on TCS and build it up in Infosys, says Yes Sec MD & CEO."
Finance Minister to inaugurate national tax e-assessment centre,"Finance Minister Nirmala Sitharaman will on Monday inaugurate the Income Tax Department’s National E-assessment Centre (NeAC), which will reduce face-to-face interaction between taxpayers and tax offi"
India’s data localisation plans hang in the balance,India to join RCEP e-commerce talks.
"Top 100 firms spent only 4% of CSR funds on women's economic empowerment, says UNDP report","Women comprise less than 10% of the permanent workforce of the majority of BSE 100 companies, says the report"
"Cartoonscape — October 10, 2019","The Hindu Provides Cartoons On All The Latest Topics & News From The World Of Politics, Business, Current Affairs & Much More"
"Cartoonscape — October 9, 2019","The Hindu Provides Cartoons On All The Latest Topics & News From The World Of Politics, Business, Current Affairs & Much More"
Here’s how they ‘mind their business’,"Ahead of World Mental Health Day, here are some pointers to how organisations can have a more comprehensive employee wellness programme"
Online food delivery platforms help uplift business for restaurants,There is a change in eating habits of people since their introduction
Festive excitement missing at Delhi’s effigy market,Business has taken a battering with no amenities being provided at the new location: artisans
"Cartoonscape — October 7, 2019","The Hindu Provides Cartoons On All The Latest Topics & News From The World Of Politics, Business, Current Affairs & Much More"
Drawings from India,"Today's News Headlines, Breaking News & Latest News from India and World, News from Politics, Sports, Business, Arts and Entertainment"
"Anmol, Anshul joins Reliance Infra board","Reliance Group chairman Anil Dhirubhai Ambani’s sons Anmol and Anshul Ambani on Wednesday have joined the board of Reliance Infrastructure Ltd. as directors.“Along with them, Lt. Gen. Syed Ata Hasnain"
Shopkeepers told to tighten security,"TIRUCHIThe Tamilnadu Vanigar Sangankalin Peramaippu has called upon traders, especially jewellers and owners of pawn shops, in the city to strengthen their security systems at their outlets in the wak"
TCS expands partnership with L&G,"India’s largest information technology services exporter Tata Consultancy Services (TCS), has expanded its strategic partnership with Legal &amp;amp; General (L&amp;amp;G), one of the U.K.’s leading f"
Day 65: Normal life remains affected in Kashmir,Normal life remained severely affected for the 65th consecutive day on Tuesday in the Valley in the wake of the Centre’s move to revoke Jammu and Kashmir’s special status under Article 370 and bifurca
TAPMI breaks into 101+ Band of QS World Rankings,"The T.A. Pai Management Institute (TAPMI) has added another feather to its hat by featuring in the prestigious QS World Ranking Management School rankings. According to a press release issued here, re"
"15 years later, three held for murder, dacoity","The Khopoli police arrested three people, wanted for dacoity and murder for 15 years, from Kalamb in Osmanabad, earlier this week.Vibhishan Shinde, Vibhishan Kale and Suresh Dikshit had been on the wa"
‘16 Haryana MLAs kept mum in Assembly’,Report says former CM Bhupinder Singh Hooda and Cong. leader Surjewala figure in the list
Centre to help stranded Indian workers,"Union Minister V. Muraleedharan discusses issue with K.V. Adbul Khader, MLA"
Dialogue to bridge divides,Two editorial meetings a month will be opened up to readers in order to expand conversations and build trust
"Breaking barriers, one plate at a time","From weddings to political meeting, a catering unit run by transwomen has ensured success though inimitable taste"
Banks in Vellore region launch first phase of customer outreach loan initiative,As many as 618 customers were sanctioned loans to the tune of ₹31.17 crore
CPCRI to host two-day farm mela at Kidu,"Event will expose farmers to latest technologies, rainwater harvesting methods"
Mumbai port sees rise in foreign travellers,New domestic cruise routes to boost traveller numbers within country too
Normal life remains disrupted for 64th day in Kashmir,"Normal life remained affected in Kashmir for the 64th consecutive day on Monday as main markets continued to be shut and public transport off the roads, officials said. Private transport was plying un"
NBA faces China backlash over Hong Kong tweet by Houston Rockets official,"Rockets’ General Manager Daryl Morey’s initial tweet, which he swiftly deleted, included an image captioned: “Fight For Freedom. Stand With Hong Kong.”"
Capes and georgettes... this is what you need in your collection,Designer Pritha A on her stylish range of men’s and women’s wear
Fake wristwatch racket: accused sourced replicas from China,"Products were brought to Delhi, delivered to Mumbai by road"
"WEF hails bank mergers, corporate tax rate reduction","Reforms such as the recently-announced bank mergers and corporate tax rate cuts have added to India’s attractiveness as an investment destination, World Economic Forum (WEF) MD Sarita Nayyar said in a"
"RBI rejects Indiabulls Housing, Lakshmi Vilas Bank merger deal",Negative feedback from investigative agencies could be a reason
Hunt for suspected MDMA supplier,Friday’s seizure of 583 milligrams of the drug is one of the biggest in district
"Jolly a pious woman, a regular at laity forums and PTA meetings, say locals",District jail sources say accused showed symptoms of mental illness
Siddaramaiah appointed as Leader of Opposition,S.R. Patil to be Leader of Opposition in Legislative Council
Pain from sluggish auto demand continues in Chakan,Recovery likely by mid 2020; export orders bail out some
Towards a strategic partnership,The exchanges between India and Mexico this week represent an opportunity to strengthen bilateral ties
"Protect farmers’ interests in RCEP pact, Tomar tells Piyush Goyal",The Commerce Minister is heading to Bangkok for a ministerial meeting on the trade agreement later this week
Rabada: a mean machine with a heart,"As an explosive fast bowler with power and skill, who can crash past defences or knock down batsmen with brutal lifters, the South African has walked the talk."
"We don’t ask for kind of tracks we get, says bowling coach Arun","The mantra is on developing the skills rather than become a slave of the conditions, said Arun."
"Thousands rally against Haitian president, clash with police",Several protesters held up signs asking the U.S. for help. “Trump give Haiti one chance” read one
Walk with DECAPODS,"When someone says, “crab mentality” or “catch a crab” the connotations are not good. But, these creatures are truly fascinating and there are 4,500 species of them!"
Hasina’s crusade against corruption,The Bangladesh PM has launched a drive which she says is necessary to address rising inequality
"Pak army chief hints at 'greater role', accompanies Imran Khan to China",Pakistan's army chief General Qamar Javed Bajwa accompanied PM Imran Khan on his China visit and was present during the Pakistan PM's meeting with Chinese Premier Li Keqiang. The general also accompanied Khan during key meetings with top Chinese leaders in Be…
Amit Shah's statement on NRC draws Jamiat ire,"""If the government is really moved by plight of persecuted minorities in India's neighbourhood, it should offer to take in Rohingya from Myanmar without discriminating on the basis of religion and if the government is really worried about intruders or infiltr…"
'UN may run out of money by end of the month',"The United Nations is running a deficit of $230 million and may run out of money by the end of October. ""Member States have paid only 70 per cent of the total amount needed for our regular budget operations in 2019. We run the risk of depleting our backup liq…"
35 stunning pics of Air Force Day celebrations,"Indian Air Force is celebrating its 87th anniversary with pomp and show as a mega event is being organised at the Hindon Air Force Station. From fighter jets, advanced helicopters to skydivers of the Akash Ganga team are showcasing their mind-boggling stunts …"
Bigg Boss 13 Weekend Ka Vaar written update,The episode of Bigg Boss 13 starts with Salman Khan coming on the stage and dancing on the title song of Janam Samjha Karo. Salman Khan then shares with the audience that Arti has taken his advice seriously and has started keeping forth their points.
"Google, FB may face tax in line with India biz","Google, Facebook, Netflix etc. have a huge consumer base in several countries but no physical presence which is why Organisation for Economic Co-operation and Development has proposed a new global tax mechanism system for multinationals under which ‘some’ pro…"
Kashmir is India’s internal issue: Maldives ex-President Mohammed Nasheed,"Days after the 57-member Organisation for Islamic Cooperation issued a statement on the sidelines of the UN General Assembly criticising India for continuing restrictions in Jammu &amp;amp; Kashmir, M"
Priyanka to meet new Cong. team for U.P.,Congress unit was revamped with bulk of posts going to OBCs
Pakistan summons Indian Deputy High Commissioner over ceasefire violations,Pakistan on October 8 summoned India’s Deputy High Commissioner Gaurav Ahluwalia to protest over alleged ceasefire violations by Indian troops along the Line of Control (LoC) that it said killed a wom
‘Govt. entitled to copy of CBIclosure report’,A CBI court here on Saturday directed the Special Magistrate to supply a certified copy of the closure report filed by the agency in the sacrilege incidents of the Guru Granth Sahib to the Punjab gove
Uttarakhand BJP expels four workers,This takes the total number of those expelled to 94
CPI(M) mulls bringing in age ceiling in its decision making bodies,81-year-old S. Ramachandran Pillai is the oldest member while the youngest members are 62-year old Mohammed Salim and Nilotpal Basu.
"YSRCP MLA, associate arrested for ‘intimidating’ govt. officer in Nellore",Sridhar Reddy was upset over the delay in sanctioning of water connection to a layout developed by a friend of the associate
KAU signs MoU with Power Grid Corporation,"Project involves planting of 16,000 trees of multiple use"
‘Nanguneri bypoll should spell the political end of ruling party’,"Election should be a referendum on the government’s performance, says Dutt"
Nine-year-old girl raped in Kurnool district,She went outside to attend nature’s call
PM to address 4 rallies in poll-bound Haryana,State BJP election in-charge confident of party winning 75 seats
Hunger stir over traffic ban called off,"State will support agitators till issue is resolved, says Transport Minister"
Grand solidarity meet in Wayanad today,Transport Minister A.K. Saseendran to inaugurate meet
Delay in naming Leader of Opposition in both Houses leaves Congress legislators fuming,They are upset with the party central leadership; Karnataka legislature session to begin on October 10
Lobbying on by camps in Karnataka Congress for key posts,"Amid hectic lobbying between the “original Congressmen” and “migrants” for the posts of KPCC president and Leaders of the Opposition in the Legislative Assembly and the Legislative Council, AICC gener"
Kasba Peth: civic body stalwarts will slug it out in Old Pune,"Redevelopment of crumbling wadas, traffic congestion in the narrow in the narrow, bustling lanes and lack of potable water in several places are among key issues"
Supreme Court declines Oil Ministry request to stay sharing of documents on Reliance penalty,Govt had levied $3-billion penalty over KG-D6 natural gas output lagging targets
"Portugal's Socialists win national elections, set to rule for four more years","The center-left Socialist Party got the most votes in Portugal’s general election Sunday, leaving it poised to continue leading the government for another four years. With 226 seats in the 230-seat pa"
"Sri Lanka HC orders rearrest of ex-police chief, Defence Secretary in Easter Sunday attacks",Pujith Jayasundera and Hemasiri Fernando were granted bail by a local court three months ago.
Sirisena to stay neutral in Sri Lanka presidential poll,"But his party would support SLPP candidate Gotabaya Rajaksa, SLFP sources said."
United Nations chief warns may not have enough money to pay staff next month,The liquidity crunch is because some member states are yet to pay what they owe
"Iraqi police fire on protesters in new unrest, death toll passes 100","Eight killed in new Baghdad clashes, more than 6,000 wounded"
Airtel raises $750 million via perpetual bonds,"The proceeds shall be used for deleveraging through refinancing, investments in subsidiaries and general corporate purpose."
200 to 300 militants active in J&K: DGP,200 to 300 militants active in J&K: DGPThe director general of police (DGP) said Pakistan has intensified ceasefire violations to push in as many militants as possible.
'J&K leaders under house arrest to be released soon',"'J&K leaders under house arrest to be released soon'The BJP general secretary said once Governors rule is lifted and legislature takes over, constitutional entities such as Commissions for SC, Women and Minorities will be set up in the region."
Ajay Kumar Lallu replaces Raj Babbar as UP Congress chief,Ajay was the Congress Legislature Party (CLP) leader in Uttar Pradesh and is a two-time MLA from Tamkuhi Raj constituency.
"J&K a bilateral issue, says China ahead of Modi-Xi meeting","We call on India and Pakistan to engage in dialogue and consultation on all issues including Kashmir issue and consolidate mutual trust.,” Chinese foreign ministry spokesperson Geng Shuang said."
Early Diwali for PSB employees,Early Diwali for PSB employeesPSB employees are set to get part wage arrears even before the final agreement on the wage revision.
Assam CM directs for new set of building bye-laws within October 31,The Chief Minister issued the directions in a meeting held on GST at his conference room.
Delhi HC grants 2 more months to CBI to complete probe in Rakesh Asthana bribery case,Justice Vibhu Bakhru made it clear that no further time will be granted to the agency to complete the investigation in the case.
"US, Allies seek backdoor access to Facebook messages","US, UK, Australia ask co to avoid end-to-end encryption without such access option"
"YES Bank files complaint against spreading of rumors, fake news",The bank has requested the authorities to form a team of experts for detecting the origin of the fake news.
"IREDA, Shyam Steel get Sebi go ahead for IPO",Shyam Steel's IPO consists of fresh issue of up to Rs 200 crore and an offer for sale of up to 66.70 lakh shares
Mohan Bhagwat’s speech vindicates RCEP stand: RSS affiliates,"Sangh affiliates like Swadeshi Jagran Manch fear that countries like China, Australia and New Zealand will ruin businesses and create unemployment."
"IREDA, Shyam Steel get Sebi go ahead for IPO",Shyam Steel's IPO consists of fresh issue of up to Rs 200 crore and an offer for sale of up to 66.70 lakh shares
Oil prices up as US-China trade talks loom,"US West Texas Intermediate (WTI) crude was at $53.16, up 35 cents or 0.7 per cent."
GM strike ripples across economy raising new recession fears,"The automaker itself has already lost more than $ 1 billion in earnings before interest and taxes, according to one analyst estimate."
Govt’s policy on delivery drones taking wing,"Govt’s policy on delivery drones taking wingThe DGCA has sought additional details from seven companies that had applied to conduct long-range, or beyond visual line of sight, drone experiments."
Pak magazine claims Saudi Prince called back Imran Khan's plane,"Before visiting the UNGA, Imran had gone to Saudi Arabia and wanted to fly America in a corporate plane. But Salman provide him own special plane."
Commercial vehicle sales to remain subdued: Icra,The rating agency believes that demand headwinds would continue in the near-term.
"Companies strategise to avail MAT credit, benefit from lower corporate tax",Some of the largest cos that have thousands of crores lying on their balance sheets in the form of unused MAT credit are looking to go for setting up new companies.
Global brands that backed down under China's wrath,"From airlines to luxury brands, numerous companies have had to apologise or face boycotts for offending China's views on semi-autonomous Hong Kong and self-ruled Taiwan."
Does this festive season herald fireworks or damp squibs? A view,"Does this festive season herald fireworks or damp squibs? A view The Reserve Bank of India has cut its key interest rate five times since February to a nine-year low, and vowed it will continue to do so until the flat-lining economy begins to resuscitate."
Kashmir issue should be resolved bilaterally: China,Kashmir issue should be resolved bilaterally: China Foreign Ministry spokesman Geng Shuang during his media briefing on Tuesday did not make any official announcement about Xi's visit to India.
Motown braces for its headiest decade yet,Motown braces for its headiest decade yetCars may soon be no longer just about driving. They may turn into a buzzing marketplace.
Index funds invest trillions but rarely challenge management,The study looked at the 300 worst performers who held proxy votes in 2018.
"India to work with China, Pakistan to gauge impact of climate change",A regional centre will help to better forecast impact on Hindu Kush mountains.
NBA faces China backlash over Hong Kong tweet by Houston Rockets official,"Rockets’ General Manager Daryl Morey’s initial tweet, which he swiftly deleted, included an image captioned: “Fight For Freedom. Stand With Hong Kong.”"
TCS expands partnership with L&G,"India’s largest information technology services exporter Tata Consultancy Services (TCS), has expanded its strategic partnership with Legal &amp;amp; General (L&amp;amp;G), one of the U.K.’s leading f"
Our poll promise is the amalgamation of regional and national aspirations: Bhupendra Yadav,"BJP general secretary Bhupendra Yadav has been given charge of Assembly polls in Maharashtra. He speaks to The Hindu on polls, issues and the alliance with the Shiv Sena….What are the main issues that"
Banks in Vellore region launch first phase of customer outreach loan initiative,As many as 618 customers were sanctioned loans to the tune of ₹31.17 crore
Sugarcane growers demand amendment to bankruptcy law,Farmers seek change with retrospective effect
A life in the balance,India has other options to seek enforcement of the ICJ’s verdict in the Kulbhushan Jadhav case
China changes tack on Kashmir,"Beijing drops reference to UN role, calls for direct talks between India and Pak."
RBI nod for merger of DCBs,Merger will ultimately lead to the formation of Kerala Bank
Special trains between Mumbai-Mangaluru for festivals,Railways has decided to operate special trains between Mumbai and Mangaluru during Deepavali and Christmas festivals to clear the extra rush of passengers.A release from Konkan Railway Corporation Ltd
DMK leader thanks Centre for choosing T.N. for historic meet,Vaiko demands better road facilities in Mamallapuram
4 held for death of rail passenger,"Government Railway Police on Saturday arrested four persons, including a juvenile, on the charge of causing the death of a railway passenger while attempting to steal his mobile. Shanthin Nadasa, 26,"
"Gaurav Gogoi appointed AICC incharge of Tripura, Manipur",He will hold the new post “along with his current responsibilities as incharge of West Bengal and Andman and Nicobar Islands”
India slams Pakistan for ‘weaponising’ women’s rights issues at UNGA,"Without naming Pakistan, Ms. Tripathi said that the country covets the territory of others and camouflages its “vile intentions with fake concerns”."
Couple dies as car rams their bike,A couple died on the spot and a minor girl suffered grievous injuries when a car rammed their bike on service road beside Outer Ring Road under Rajendranagar limits on Sunday. Police said they were ye
World Space Week celebrations begin,"Avanthi Institute of Engineering and Technology and Satish Dhawan Space Centre, ISRO-Sriharikota jointly began the two-day World Space Week celebrations with the theme ‘The Moon — Gateway to the Stars"
Governor launches 7th economic census in T.N.,Governor Banwarilal Purohit on Wednesday launched the seventh economic census in Tamil Nadu. The census is organised by the Union Ministry of Statistics and Programme Implementation. The data on emplo
Crime Branch suspects divisive motive in arson attack,Agency also looking into copycat attacks on NSS offices in the aftermath of Sabarimala verdict
"Dasara: trains, buses jam-packed","Women and children inconvenienced; special trains, additional buses fail to meet the rush"
"HC denies bail to T.O. Sooraj, two others","The court, however, grants bail to the third accused in Palarivattom flyover case"
Use of force: AAP leader seeks DCP’s suspension,"Alleging illegal conduct in the tree-felling issue at Aarey colony, Aam Aadmi Party’s (AAP) national executive member Preeti Sharma Menon has written to the Governor, Chief Minister, Chief Justice of"
Contract nurses seek equal pay for equal work,‘Govt. not honouring court order’
India International Science Festival invites participants,"The fifth edition of the India International Science Festival jointly organised by the Department of Science and Technology along with Vijnana Bharati, an NGO working towards awareness of science, is"
CM Jagan Mohan Reddy presents silk robes to goddess Kanaka Durga,Chief Minister Y.S. Jagan Mohan Reddy presented silk robes to the presiding deity Goddess Kanaka Durga a day ahead of Saraswati alankaram on Moola Nakshatram. In view of his scheduled meetings in New
